country,region_name,nuts_code,year_week,rate_14_day_per_100k,weekly_count,population,source
Austria,Burgenland,AT11,2020-13,,113,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-14,57.7375049246695,57,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-15,32.265076281433,38,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-16,23.7742667336875,32,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-17,15.6230895678518,14,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-18,8.1511771658357,10,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-19,4.07558858291785,2,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-20,2.03779429145893,4,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-21,2.37742667336875,3,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-22,1.6981619095491,2,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-23,0.679264763819642,0,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-24,0,0,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-25,1.35852952763928,4,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-26,3.73595620100803,7,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-27,6.11338287437677,11,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-28,6.4530152562866,8,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-29,8.49080954774552,17,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-30,11.2078686030241,16,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-31,11.8871333668437,19,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-32,9.17007431156516,8,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-33,6.4530152562866,11,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-34,12.9060305125732,27,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-35,21.3968400603187,36,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-36,28.529120080425,48,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-37,34.9821353367115,55,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-38,45.1711067940062,78,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-39,64.1905201809561,111,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-40,82.1910364221766,131,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-41,109.361626974962,191,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-42,147.740086130772,244,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-43,230.610387316768,435,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-44,514.882690975288,1081,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-45,854.854705267019,1436,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-46,948.25361029222,1356,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-47,823.608526131316,1069,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-48,614.055346492956,739,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-49,465.635995598364,632,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-50,357.632898151041,421,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-51,265.59252265348,361,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-52,232.648181608227,324,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2020-53,254.384654050456,425,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-01,283.5930388947,410,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-02,252.007227377087,332,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-03,217.704356804195,309,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-04,196.307516743876,269,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-05,187.816707196131,284,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-06,206.496488201171,324,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-07,252.007227377087,418,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-08,320.952600904781,527,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-09,394.992460161122,636,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-10,466.654892744094,738,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-11,495.863277588338,722,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-12,537.298428181337,860,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-13,513.184529065739,651,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-14,404.502166854597,540,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-15,307.367305628388,365,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-16,236.044505427326,330,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-17,195.967884361967,247,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-18,135.513320382018,152,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-19,83.5495659498159,94,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-20,60.1149315980383,83,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-21,49.9259601407437,64,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-22,31.9254438995232,30,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-23,21.0572076784089,32,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-24,22.4157372060482,34,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-25,22.4157372060482,32,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-26,20.0383105326794,27,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-27,17.3212514774009,24,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-28,16.3023543316714,24,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-29,20.7175752964991,37,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-30,33.6236058090723,62,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-31,37.6991943919901,49,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-32,55.020445869391,113,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-33,92.3800078794713,159,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-34,120.569495577986,196,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-35,163.363175698624,285,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-36,193.250825306688,284,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-37,196.307516743876,294,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-38,162.004646170985,183,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-39,144.004129929764,241,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-40,178.986265266476,286,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-41,190.873398633319,276,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-42,255.063918814275,475,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-43,419.106359276719,759,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-44,779.795948864949,1537,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-45,1134.3721555788,1803,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-46,1368.71849909658,2227,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-47,1372.45445529759,1814,294436,Epidemic intelligence subnational data
Austria,Burgenland,AT11,2021-48,1014.48192476464,1173,294436,Epidemic intelligence subnational data
